,time,low,high,open,close,volume,price_change,average_price,volatitlity,product_id
132,2021-08-17,44405.39,47174.62,45903.22,44671.58,12756.14777945,-1231.6399999999994,45790.005000000005,6.236247446537465,BTC-USD
133,2021-08-16,45676.91,48076.52,47014.38,45902.46,10467.66031475,-1111.9199999999983,46876.715,5.253442056391277,BTC-USD
134,2021-08-15,45525.19,47400.0,47109.64,47014.49,7745.70200802,-95.15000000000146,46462.595,4.118181604513891,BTC-USD
135,2021-08-14,46034.93,48176.52,47833.64,47109.65,8130.36769388,-723.989999999998,47105.725,4.652097874374951,BTC-USD
136,2021-08-13,44249.64,47953.9,44422.15,47833.64,11794.94196257,3411.489999999998,46101.770000000004,8.371277144853613,BTC-USD
137,2021-08-12,43714.36,46223.95,45553.1,44422.14,13169.78176994,-1130.9599999999991,44969.155,5.740882401114866,BTC-USD
138,2021-08-11,45350.74,46781.09,45601.82,45553.49,11628.32043954,-48.330000000001746,46065.91499999999,3.1539727907416695,BTC-USD
139,2021-08-10,44650.27,46718.44,46280.0,45595.66,13756.50066875,-684.3399999999965,45684.354999999996,4.631931677008909,BTC-USD
140,2021-08-09,42821.3,46497.42,43829.15,46285.48,19464.72493503,2456.3300000000017,44659.36,8.584793081947524,BTC-USD
141,2021-08-08,43131.97,45363.83,44628.11,43829.14,18712.27158173,-798.9700000000012,44247.9,5.17449121846278,BTC-USD
142,2021-08-07,42457.27,44750.0,42869.59,44637.34,19634.79475606,1767.75,43603.634999999995,5.4000881356714725,BTC-USD
143,2021-08-06,39876.74,43399.26,40888.73,42869.58,20425.1145444,1980.8499999999985,41638.0,8.833520493400423,BTC-USD
144,2021-08-05,37300.0,41447.89,39718.9,40888.74,28507.85532682,1169.8399999999965,39373.945,11.120348525469167,BTC-USD
145,2021-08-04,37509.0,39965.1,38189.4,39722.41,15327.67624669,1533.010000000002,38737.05,6.548028473166437,BTC-USD
146,2021-08-03,37627.21,39785.3,39149.59,38191.44,15094.81739624,-958.1499999999942,38706.255000000005,5.735450489154003,BTC-USD
147,2021-08-02,38690.0,40459.68,39859.18,39149.59,12379.41216528,-709.5900000000038,39574.84,4.573998449211683,BTC-USD
148,2021-08-01,39426.0,42605.64,41499.0,39865.41,10617.67293456,-1633.5899999999965,41015.82,8.064830315020544,BTC-USD
149,2021-07-31,41064.11,42414.61,42233.66,41495.01,9351.94288576,-738.6500000000015,41739.36,3.288759941467135,BTC-USD
150,2021-07-30,38342.0,42320.57,40039.44,42237.95,15063.2344059,2198.5099999999948,40331.285,10.376532262271137,BTC-USD
151,2021-07-29,39229.47,40644.85,40035.1,40039.44,11022.42512817,4.3400000000037835,39937.16,3.60795085939218,BTC-USD
152,2021-07-28,38803.34,40925.56,39475.99,40035.1,27198.33358111,559.1100000000006,39864.45,5.469168375711991,BTC-USD
153,2021-07-27,36413.26,39550.0,37262.76,39470.48,24709.10440908,2207.720000000001,37981.630000000005,8.614279523448321,BTC-USD
154,2021-07-26,35251.54,40593.93,35428.25,37262.77,40354.54555841,1834.5199999999968,37922.735,15.155054218907882,BTC-USD
155,2021-07-25,33888.89,35451.04,34291.67,35428.26,9434.63002297,1136.5900000000038,34669.965,4.6096227996845025,BTC-USD
156,2021-07-24,33424.7,34525.0,33647.27,34283.01,9864.75243703,635.7400000000052,33974.85,3.2918769652382913,BTC-USD
157,2021-07-23,32000.0,33647.27,32287.75,33647.26,9004.84262627,1359.510000000002,32823.634999999995,5.14771874999999,BTC-USD
158,2021-07-22,31729.68,32611.84,32152.68,32287.74,7704.6404628,135.0600000000013,32170.760000000002,2.7802360439815335,BTC-USD
159,2021-07-21,29501.02,32825.0,29796.15,32135.19,15598.47830878,2339.0399999999972,31163.010000000002,11.26733923098252,BTC-USD
160,2021-07-20,29301.56,31052.65,30842.04,29796.16,18114.15286104,-1045.880000000001,30177.105000000003,5.9760982009149,BTC-USD
161,2021-07-19,30429.99,31887.82,31786.37,30842.03,11027.00528966,-944.3400000000001,31158.905,4.7907672661081975,BTC-USD
162,2021-07-18,31125.6,32450.0,31533.9,31788.25,5006.4831051,254.34999999999854,31787.8,4.255018377155786,BTC-USD
163,2021-07-17,31179.01,31949.99,31389.57,31533.91,5695.57411588,144.34000000000015,31564.5,2.472753304226155,BTC-USD
164,2021-07-16,31025.42,32259.16,31872.49,31388.06,10006.47793721,-484.4300000000003,31642.29,3.976545684151904,BTC-USD
